Content,Video title,Video publish time,Duration,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Unique viewers,Unique reach,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Dislikes,Likes,Likes (vs. dislikes) (%),Shares,Comments added,Post subscribers,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,2377,0:00:15,41.29,51.18,2223,3845,1.0243,0,0,0,0,2,0,0,32,100,0,2,0,4521,11.4662,2,38,0
L8ek-kPnDV4,You can make big money with Lovable because it is free,"Aug 22, 2026",42,777,0:00:17,41.12,66.04,736,1046,1.0082,,,,,1,0,0,7,100,0,0,0,1204,3.9407,1,11,0
MByke50P4rU,Should you be scared about AI? #lovablepartner #LovablePartner,"Aug 20, 2026",33,663,0:00:14,42.64,53.42,657,1111,1.0076,,,,,0,0,0,11,100,0,1,0,1243,2.8895,0,18,0
8UPQYKDRCCw,0.5% of The World #lovablepartner #LovablePartner,"Aug 18, 2026",32,578,0:00:15,47.68,43.82,571,1096,1.0105,,,,,0,0,0,10,100,0,1,0,1215,2.7097,0,1,0
TLbxrWp9jrU,$300K A Month Doing Dog Portraits  #lovablepartner  #podcast  #founder #education #openai,"Aug 21, 2026",52,235,0:00:17,32.69,38.52,231,511,1.013,,,,,0,0,0,3,100,0,0,0,572,1.2582,0,3,0
FbxEdUnmy5o,How Lovable was created,"Aug 23, 2026",49,67,0:00:18,38.14,38.51,59,145,1.0339,,,,,0,0,0,0,,0,0,0,164,0.4023,0,1,0
bf42UPXRXBw,How Anton Osika the Founder of Lovable Started,"Aug 24, 2026",47,56,0:00:14,30.62,45.9,0,0,,,,,,,,0,1,100,0,0,0,122,0.2544,,4,0
